,None,ticker,date,open,high,low,close,volume
41,208,MSTR,2023-06-01,298.5,307.725,295.6418,299.94,547111.0
42,207,MSTR,2023-06-02,305.27,306.0,290.64,302.13,723030.0
43,206,MSTR,2023-06-05,294.47,296.96,271.2,276.36,1400078.0
44,205,MSTR,2023-06-06,270.0,304.565,266.55,298.82,1873213.0
45,204,MSTR,2023-06-07,298.82,302.27,288.0,290.81,673345.0
46,203,MSTR,2023-06-08,289.69,297.244,283.57,290.93,483207.0
47,202,MSTR,2023-06-09,293.5,295.76,280.505,282.33,566497.0
48,201,MSTR,2023-06-12,279.125,281.66,275.0,277.7,369248.0
49,200,MSTR,2023-06-13,284.3,284.88,274.95,283.82,441425.0
50,199,MSTR,2023-06-14,284.11,286.15,276.73,282.88,376556.0
51,198,MSTR,2023-06-15,274.15,281.38,266.0,277.92,773939.0
52,197,MSTR,2023-06-16,284.99,298.0,280.96,293.39,1420275.0
53,196,MSTR,2023-06-20,300.0,315.18,289.69,313.4,1889010.0
54,195,MSTR,2023-06-21,324.0,338.0,320.31,331.31,1919405.0
55,194,MSTR,2023-06-22,332.49,337.45,313.13,327.23,1132313.0
56,193,MSTR,2023-06-23,327.0,337.0,317.3,329.11,1550366.0
57,192,MSTR,2023-06-26,324.0,328.6,301.085,305.74,1122539.0
58,191,MSTR,2023-06-27,312.3,327.99,311.527,324.88,834601.0
59,190,MSTR,2023-06-28,319.91,332.8099,318.45,325.61,655976.0
60,189,MSTR,2023-06-29,335.64,340.7867,328.5,340.255,854675.0
61,188,MSTR,2023-06-30,349.97,352.75,322.26,342.42,1523040.0
62,187,MSTR,2023-07-03,347.0,378.27,345.99,377.84,1104772.0
63,186,MSTR,2023-07-05,367.01,382.9899,359.0958,378.11,1127811.0
64,185,MSTR,2023-07-06,380.59,385.01,362.0,376.55,879892.0
65,184,MSTR,2023-07-07,373.59,392.0,373.59,380.74,935854.0
66,183,MSTR,2023-07-10,381.17,408.01,370.0466,407.71,987874.0
67,182,MSTR,2023-07-11,401.0,415.0,396.92,412.3,1197722.0
68,181,MSTR,2023-07-12,418.0,420.98,405.24,413.49,922195.0
69,180,MSTR,2023-07-13,418.0,466.99,412.78,461.83,2069805.0
70,179,MSTR,2023-07-14,455.46,475.0916,447.18,458.86,1722123.0
71,178,MSTR,2023-07-17,457.195,467.0,444.35,449.88,857404.0
72,177,MSTR,2023-07-18,449.48,454.0,435.0,445.795,781368.0
73,176,MSTR,2023-07-19,451.77,461.6,446.7628,453.1,547140.0
74,175,MSTR,2023-07-20,455.21,461.31,435.2,440.83,630674.0
75,174,MSTR,2023-07-21,441.91,445.875,426.55,436.65,563258.0
76,173,MSTR,2023-07-24,427.64,431.8699,412.93,430.935,654548.0
77,172,MSTR,2023-07-25,430.94,442.415,430.21,436.82,444219.0
78,171,MSTR,2023-07-26,436.82,447.93,436.28,443.46,524366.0
79,170,MSTR,2023-07-27,451.0,452.46,424.17,426.15,564443.0
80,169,MSTR,2023-07-28,434.0,438.74,424.84,434.61,463814.0
81,168,MSTR,2023-07-31,440.0,442.84,432.2,437.88,483450.0
82,167,MSTR,2023-08-01,430.0,438.0,420.88,434.98,659047.0
83,166,MSTR,2023-08-02,434.98,437.0,401.18,407.33,1052042.0
84,165,MSTR,2023-08-03,400.01,402.3699,387.6245,389.91,649236.0
85,164,MSTR,2023-08-04,390.01,395.76,374.45,376.97,548124.0
86,163,MSTR,2023-08-07,371.03,373.56,357.7,370.82,695364.0
87,162,MSTR,2023-08-08,380.0,395.9999,374.72,389.48,760314.0
88,161,MSTR,2023-08-09,395.97,396.5,376.0,377.84,510580.0
89,160,MSTR,2023-08-10,380.32,390.06,372.0056,378.01,409474.0
90,159,MSTR,2023-08-11,378.01,388.0,372.1,384.31,332801.0
91,158,MSTR,2023-08-14,381.57,392.6,375.2764,388.83,381994.0
92,157,MSTR,2023-08-15,389.04,392.69,375.83,376.15,417636.0
93,156,MSTR,2023-08-16,373.46,377.28,366.26,369.67,311022.0
94,155,MSTR,2023-08-17,361.6,365.5899,345.37,346.79,775039.0
95,154,MSTR,2023-08-18,331.49,338.58,322.29,328.62,1098781.0
96,153,MSTR,2023-08-21,330.29,336.9839,325.0201,335.25,416071.0
97,152,MSTR,2023-08-22,341.48,345.2345,328.0,329.51,379315.0
98,151,MSTR,2023-08-23,330.0,350.5247,327.5,346.4,517382.0
99,150,MSTR,2023-08-24,348.92,349.5,332.45,336.56,507176.0
100,149,MSTR,2023-08-25,339.68,344.9999,329.031,336.05,366074.0
101,148,MSTR,2023-08-28,339.36,350.38,338.545,344.37,352205.0
102,147,MSTR,2023-08-29,342.23,387.9928,341.93,381.52,1524680.0
103,146,MSTR,2023-08-30,375.1,377.32,367.6,371.68,604144.0
104,145,MSTR,2023-08-31,375.1,375.6658,354.24,357.53,600319.0
105,144,MSTR,2023-09-01,357.54,360.94,346.63,351.48,406013.0
106,143,MSTR,2023-09-05,351.48,353.971,344.575,349.25,300609.0
107,142,MSTR,2023-09-06,349.5,359.0,345.2608,350.7,572201.0
108,141,MSTR,2023-09-07,346.5,356.82,337.84,353.07,488779.0
109,140,MSTR,2023-09-08,352.42,356.28,347.0,356.28,458561.0
110,139,MSTR,2023-09-11,355.0,356.61,336.0,342.68,750168.0
111,138,MSTR,2023-09-12,355.0,367.6,345.299,347.76,763869.0
112,137,MSTR,2023-09-13,347.3,352.5614,340.6,341.84,472938.0
113,136,MSTR,2023-09-14,350.0,361.99,346.04,346.4,669070.0
114,135,MSTR,2023-09-15,346.4,346.4,336.36,340.78,496110.0
115,134,MSTR,2023-09-18,351.25,356.3299,338.99,340.62,577335.0
116,133,MSTR,2023-09-19,344.11,350.195,333.5,339.26,557110.0
117,132,MSTR,2023-09-20,343.5,344.34,333.04,333.47,381097.0
118,131,MSTR,2023-09-21,325.8,328.6617,321.5934,326.06,364495.0
119,130,MSTR,2023-09-22,324.75,328.14,320.5666,322.81,281782.0
120,129,MSTR,2023-09-25,319.5,327.61,315.64,327.6,384383.0
121,128,MSTR,2023-09-26,324.0,329.0,317.17,317.3,380270.0
122,127,MSTR,2023-09-27,322.62,326.9,310.1,315.63,386994.0
123,126,MSTR,2023-09-28,319.8,337.5525,315.65,328.92,642273.0
124,125,MSTR,2023-09-29,332.72,334.48,324.9,328.28,390848.0
125,124,MSTR,2023-10-02,346.57,352.84,327.5201,329.49,850105.0
126,123,MSTR,2023-10-03,323.9,326.0,311.0,311.33,644272.0
127,122,MSTR,2023-10-04,314.85,323.93,307.1101,320.4,490859.0
128,121,MSTR,2023-10-05,323.79,328.0,315.1809,323.42,410477.0
129,120,MSTR,2023-10-06,320.0,341.7816,319.1718,340.63,469492.0
130,119,MSTR,2023-10-09,331.53,344.24,331.43,340.45,380029.0
131,118,MSTR,2023-10-10,341.24,346.47,337.01,340.46,386585.0
132,117,MSTR,2023-10-11,338.6,340.27,330.35,334.61,302539.0
133,116,MSTR,2023-10-12,335.0,335.0,320.86,323.6,439515.0
134,115,MSTR,2023-10-13,327.62,327.62,314.25,318.22,393373.0
135,114,MSTR,2023-10-16,338.0,353.0,321.05,325.8,1257130.0
136,113,MSTR,2023-10-17,321.34,340.9093,321.34,335.41,614126.0
