,None,ticker,date,open,high,low,close,volume
55,194,META,2023-06-22,279.08,285.26,277.79,284.88,17274787.0
56,193,META,2023-06-23,281.51,289.67,278.95,288.73,50983140.0
57,192,META,2023-06-26,288.7,289.79,277.6,278.47,24061917.0
58,191,META,2023-06-27,282.01,289.345,280.655,287.05,25809172.0
59,190,META,2023-06-28,284.82,289.55,284.06,285.29,16581229.0
60,189,META,2023-06-29,284.5,286.57,280.69,281.53,15305401.0
61,188,META,2023-06-30,284.76,289.05,284.415,286.98,19526896.0
62,187,META,2023-07-03,286.7,289.4,284.8499,286.02,8629269.0
63,186,META,2023-07-05,287.65,298.12,286.36,294.37,33539399.0
64,185,META,2023-07-06,295.885,298.12,291.31,291.99,47438489.0
65,184,META,2023-07-07,292.18,296.2,288.66,290.53,25468176.0
66,183,META,2023-07-10,295.55,298.13,287.05,294.1,36862401.0
67,182,META,2023-07-11,293.9,300.18,291.9,298.29,27545631.0
68,181,META,2023-07-12,301.745,309.45,300.1004,309.34,36413252.0
69,180,META,2023-07-13,313.62,316.24,310.2901,313.41,30138488.0
70,179,META,2023-07-14,311.79,314.88,307.3612,308.87,22634510.0
71,178,META,2023-07-17,307.54,311.71,304.71,310.62,25092193.0
72,177,META,2023-07-18,310.875,314.2,307.6188,312.05,20545902.0
73,176,META,2023-07-19,313.03,318.68,310.52,316.01,21347159.0
74,175,META,2023-07-20,313.5,315.54,302.22,302.52,23618835.0
75,174,META,2023-07-21,304.57,305.46,291.2,294.26,41883333.0
76,173,META,2023-07-24,295.78,297.52,288.3001,291.61,24271790.0
77,172,META,2023-07-25,295.19,298.3,291.86,294.47,18809328.0
78,171,META,2023-07-26,301.19,301.77,291.9,298.57,45725455.0
79,170,META,2023-07-27,325.12,325.35,309.84,311.71,63721520.0
80,169,META,2023-07-28,316.875,326.2,314.2481,325.48,39005761.0
81,168,META,2023-07-31,323.69,325.6599,317.59,318.6,24224777.0
82,167,META,2023-08-01,317.535,324.14,314.66,322.71,22663021.0
83,166,META,2023-08-02,318.0,318.39,310.65,314.31,20223203.0
84,165,META,2023-08-03,309.93,315.9499,309.93,313.19,15059300.0
