None,ticker,date,close,open,high,low,volume
370,TSLA,2022-10-07,223.07,233.935,234.5715,222.02,82882428.0
371,TSLA,2022-10-06,238.13,239.44,244.58,235.35,68850928.0
372,TSLA,2022-10-05,240.81,245.01,246.6697,233.27,86087074.0
373,TSLA,2022-10-04,249.44,250.52,257.5,242.01,108906553.0
374,TSLA,2022-10-03,242.4,254.5,255.16,241.01,96860389.0
375,TSLA,2022-09-30,265.25,266.145,275.57,262.47,66973758.0
376,TSLA,2022-09-29,268.21,282.76,283.65,265.78,77026906.0
377,TSLA,2022-09-28,287.81,283.08,289.0,277.57,54203075.0
378,TSLA,2022-09-27,282.94,283.84,288.67,277.51,61432142.0
379,TSLA,2022-09-26,276.01,271.83,284.09,270.31,57777163.0
380,TSLA,2022-09-23,275.33,283.09,284.5,272.82,63283781.0
381,TSLA,2022-09-22,288.59,299.86,301.29,285.82,70107683.0
382,TSLA,2022-09-21,300.8,308.29,313.8,300.63,61693897.0
383,TSLA,2022-09-20,308.73,306.91,313.33,305.58,61330065.0
384,TSLA,2022-09-19,309.07,300.09,309.84,297.8,59962568.0
385,TSLA,2022-09-16,303.35,299.605,303.71,295.6005,86652425.0
386,TSLA,2022-09-15,303.75,301.825,309.12,300.7247,64329662.0
387,TSLA,2022-09-14,302.61,292.24,306.0,291.64,72354732.0
388,TSLA,2022-09-13,292.13,292.9,297.3999,290.4,67729028.0
389,TSLA,2022-09-12,304.42,300.72,305.49,300.4,48195156.0
390,TSLA,2022-09-09,299.68,291.67,299.85,291.245,53876417.0
391,TSLA,2022-09-08,289.26,281.3,289.5,279.76,53461687.0
392,TSLA,2022-09-07,283.7,273.1,283.84,272.27,49551441.0
393,TSLA,2022-09-06,274.42,272.675,275.99,265.74,55605247.0
394,TSLA,2022-09-02,270.21,281.065,282.35,269.08,50426726.0
395,TSLA,2022-09-01,277.16,272.575,277.58,266.15,53764345.0
396,TSLA,2022-08-31,275.61,280.62,281.25,271.81,51653146.0
397,TSLA,2022-08-30,277.7,287.865,288.48,272.65,49676812.0
398,TSLA,2022-08-29,284.82,282.83,287.74,280.7,41548729.0
399,TSLA,2022-08-26,288.09,297.43,302.0,287.47,56129757.0
400,TSLA,2022-08-25,296.07,302.36,302.96,291.6,52827378.0
401,TSLA,2022-08-24,891.29,892.69,910.94,889.5,19086572.0
402,TSLA,2022-08-23,889.36,874.36,896.4799,863.77,21187399.0
403,TSLA,2022-08-22,869.74,875.74,877.2,858.89,18495977.0
404,TSLA,2022-08-19,890.0,897.0,901.08,877.5,20293747.0
405,TSLA,2022-08-18,908.61,918.0,919.5,905.56,15750710.0
406,TSLA,2022-08-17,911.99,910.19,928.97,900.1,22787480.0
407,TSLA,2022-08-16,919.69,935.0,944.0,908.65,29250849.0
408,TSLA,2022-08-15,927.96,905.36,939.4,903.69,29652308.0
409,TSLA,2022-08-12,900.09,868.245,900.48,855.1,26275526.0
410,TSLA,2022-08-11,859.89,889.54,894.71,857.5,23258457.0
411,TSLA,2022-08-10,883.07,891.2,892.53,850.11,31317003.0
412,TSLA,2022-08-09,850.0,870.88,877.19,838.06,28633665.0
413,TSLA,2022-08-08,871.27,885.0,915.6,867.2562,32731890.0
414,TSLA,2022-08-05,864.51,908.01,913.8199,856.634,37489215.0
415,TSLA,2022-08-04,925.9,933.0,940.82,915.0,23631247.0
416,TSLA,2022-08-03,922.19,915.0,928.65,903.45,26504385.0
417,TSLA,2022-08-02,901.76,882.01,923.5,878.0,31716591.0
418,TSLA,2022-08-01,891.83,903.825,935.6347,885.0,38867685.0
419,TSLA,2022-07-29,891.45,842.1,894.96,837.3,31560691.0
420,TSLA,2022-07-28,842.7,840.2,849.9,818.4,27681157.0
421,TSLA,2022-07-27,824.46,791.43,827.7768,785.3701,29200115.0
422,TSLA,2022-07-26,776.58,799.54,801.9299,768.79,21904374.0
423,TSLA,2022-07-25,805.3,816.65,822.44,802.2,21357835.0
424,TSLA,2022-07-22,816.73,828.66,842.36,812.14,34322469.0
425,TSLA,2022-07-21,815.12,765.32,819.8,764.6,47108008.0
426,TSLA,2022-07-20,742.5,740.35,751.99,730.449,27206765.0
427,TSLA,2022-07-19,736.59,735.0,741.42,710.93,26689410.0
428,TSLA,2022-07-18,721.64,734.81,751.55,718.81,27394728.0
429,TSLA,2022-07-15,720.2,720.0,730.8699,710.67,22998696.0
430,TSLA,2022-07-14,714.94,704.69,715.96,688.0,26029301.0
431,TSLA,2022-07-13,711.12,676.5,726.1799,675.1,32357164.0
432,TSLA,2022-07-12,699.21,710.54,719.32,685.105,29173993.0
433,TSLA,2022-07-11,703.03,756.31,759.19,700.88,33017713.0
434,TSLA,2022-07-08,752.29,727.0,764.9399,723.4843,32780311.0
435,TSLA,2022-07-07,733.63,701.76,736.085,696.63,27080506.0
436,TSLA,2022-07-06,695.2,692.34,703.69,681.56,23805139.0
437,TSLA,2022-07-05,699.2,669.0,699.44,648.5001,28004179.0
438,TSLA,2022-07-01,681.79,681.0,690.69,666.3601,24820148.0
439,TSLA,2022-06-30,673.42,673.53,688.37,656.59,31351546.0
440,TSLA,2022-06-29,685.47,691.5,693.52,666.82,27533145.0
441,TSLA,2022-06-28,697.99,733.45,749.91,697.03,29843245.0
442,TSLA,2022-06-27,734.76,748.1,756.21,727.6966,28858371.0
443,TSLA,2022-06-24,737.12,712.405,738.2,708.26,31307978.0
444,TSLA,2022-06-23,705.21,713.715,717.95,685.91,34268948.0
445,TSLA,2022-06-22,708.26,703.51,740.5,701.48,33034766.0
446,TSLA,2022-06-21,711.11,673.81,730.7321,673.0,40733203.0
447,TSLA,2022-06-17,650.28,640.3,662.9082,639.59,30880590.0
448,TSLA,2022-06-16,639.3,668.21,675.5,626.08,35562828.0
449,TSLA,2022-06-15,699.0,662.75,706.9899,654.45,39652660.0
450,TSLA,2022-06-14,662.67,654.86,678.99,635.21,32464392.0
451,TSLA,2022-06-13,647.21,669.5,679.9,644.05,33963311.0
452,TSLA,2022-06-10,696.69,705.47,718.5,683.74,31914590.0
453,TSLA,2022-06-09,719.12,748.02,766.6399,717.98,31902557.0
454,TSLA,2022-06-08,725.6,720.26,749.89,717.53,25154026.0
455,TSLA,2022-06-07,716.66,702.0,719.99,690.28,24007396.0
456,TSLA,2022-06-06,714.84,733.06,734.6,703.05,27931671.0
457,TSLA,2022-06-03,703.55,729.675,743.3899,700.2534,36945671.0
458,TSLA,2022-06-02,775.0,732.47,792.63,726.2,30889873.0
459,TSLA,2022-06-01,740.37,755.16,771.98,730.92,25192124.0
460,TSLA,2022-05-31,758.26,773.84,778.8,734.23,33720003.0
461,TSLA,2022-05-27,759.63,723.25,759.8,720.5311,29764994.0
462,TSLA,2022-05-26,707.73,661.42,718.6699,653.66,34567185.0
463,TSLA,2022-05-25,658.8,623.85,669.32,623.0101,30181534.0
464,TSLA,2022-05-24,628.16,653.53,653.92,620.57,29317767.0
465,TSLA,2022-05-23,674.9,655.02,679.9551,638.06,29026675.0
466,TSLA,2022-05-20,663.9,713.99,721.582,633.0,47907531.0
467,TSLA,2022-05-19,709.42,707.0,734.0,694.11,29880019.0
468,TSLA,2022-05-18,709.81,744.52,760.5,700.81,28917280.0
469,TSLA,2022-05-17,761.61,747.36,764.48,728.85,26352397.0
470,TSLA,2022-05-16,724.37,767.16,769.76,719.0885,28472559.0
471,TSLA,2022-05-13,769.59,773.48,787.3499,751.565,30562330.0
472,TSLA,2022-05-12,728.0,701.0,759.66,680.0,46691361.0
473,TSLA,2022-05-11,734.0,795.0,809.77,727.2,32079730.0
474,TSLA,2022-05-10,800.04,819.31,825.36,774.25,27988983.0
475,TSLA,2022-05-09,787.11,836.45,845.63,781.15,29798341.0
476,TSLA,2022-05-06,865.65,887.0,888.0,843.105,24182817.0
477,TSLA,2022-05-05,873.28,939.21,945.6,857.7,30516246.0
478,TSLA,2022-05-04,952.62,903.94,955.5,885.28,27029241.0
479,TSLA,2022-05-03,909.25,903.18,924.08,888.59,21034506.0
480,TSLA,2022-05-02,902.94,860.77,906.3599,848.03,24926149.0
481,TSLA,2022-04-29,870.76,902.25,934.3999,870.0,29107247.0
482,TSLA,2022-04-28,877.51,899.98,900.0,821.7,41210837.0
483,TSLA,2022-04-27,881.51,898.58,918.0,877.36,25461934.0
484,TSLA,2022-04-26,876.42,995.43,1000.0,875.0,44694524.0
485,TSLA,2022-04-25,998.02,978.97,1008.62,975.3,22593647.0
486,TSLA,2022-04-22,1005.05,1014.91,1034.85,994.0001,23089808.0
487,TSLA,2022-04-21,1008.78,1074.73,1092.22,996.415,34983353.0
488,TSLA,2022-04-20,977.2,1030.0,1034.0,975.2501,21616141.0
489,TSLA,2022-04-19,1028.15,1005.06,1034.94,995.325,16442079.0
490,TSLA,2022-04-18,1004.29,989.03,1014.92,973.41,16976198.0
491,TSLA,2022-04-14,985.0,999.29,1012.71,982.19,19474135.0
492,TSLA,2022-04-13,1022.37,981.075,1026.24,973.097,18189150.0
493,TSLA,2022-04-12,986.95,997.64,1021.19,976.6001,21804026.0
494,TSLA,2022-04-11,975.93,980.4,1008.47,974.64,19501774.0
495,TSLA,2022-04-08,1025.49,1043.21,1048.44,1022.43,18184142.0
496,TSLA,2022-04-07,1057.26,1052.39,1076.59,1021.54,26255451.0
497,TSLA,2022-04-06,1045.76,1073.47,1079.0,1027.7,29683682.0
498,TSLA,2022-04-05,1091.26,1136.3,1152.87,1087.3,26192187.0
499,TSLA,2022-04-04,1145.45,1089.38,1149.91,1072.53,26948172.0
500,TSLA,2022-04-01,1084.59,1081.15,1094.75,1066.64,17451208.0
501,TSLA,2022-03-31,1077.6,1094.57,1103.14,1076.64,16191602.0
502,TSLA,2022-03-30,1093.99,1091.17,1113.95,1084.0,19894625.0
503,TSLA,2022-03-29,1099.57,1107.99,1114.77,1073.11,24318964.0
504,TSLA,2022-03-28,1091.84,1065.1,1097.88,1053.6,33855627.0
505,TSLA,2022-03-25,1010.64,1008.0,1021.8,997.3201,20563680.0
506,TSLA,2022-03-24,1013.92,1009.73,1024.49,988.8,22792304.0
507,TSLA,2022-03-23,999.11,979.94,1040.7,976.4,40026805.0
508,TSLA,2022-03-22,993.98,930.0,997.86,921.75,35067399.0
509,TSLA,2022-03-21,921.16,914.98,942.85,907.09,26640958.0
510,TSLA,2022-03-18,905.39,874.49,907.85,867.39,33443159.0
511,TSLA,2022-03-17,871.6,830.99,875.0,825.7178,21931713.0
512,TSLA,2022-03-16,840.23,809.0,842.0,802.2601,27742942.0
513,TSLA,2022-03-15,801.89,775.27,805.57,756.57,21989809.0
514,TSLA,2022-03-14,766.37,780.61,800.7,756.04,23358624.0
515,TSLA,2022-03-11,795.35,840.197,843.802,793.77,22152896.0
516,TSLA,2022-03-10,838.3,851.45,854.45,810.3601,19359260.0
517,TSLA,2022-03-09,858.97,839.48,860.56,832.01,19437805.0
518,TSLA,2022-03-08,824.4,795.53,849.99,782.17,26651960.0
519,TSLA,2022-03-07,804.58,856.3,866.14,804.57,23646509.0
520,TSLA,2022-03-04,838.29,849.1,855.65,825.1609,22183372.0
521,TSLA,2022-03-03,839.29,878.77,886.439,832.6001,20255639.0
522,TSLA,2022-03-02,879.89,872.13,886.48,844.2721,24752419.0
523,TSLA,2022-03-01,864.37,869.68,889.88,853.78,24705079.0
524,TSLA,2022-02-28,870.43,815.01,876.86,814.7075,32770433.0
525,TSLA,2022-02-25,809.87,809.23,819.5,782.4005,24885181.0
526,TSLA,2022-02-24,800.77,700.39,802.48,700.0,44753251.0
527,TSLA,2022-02-23,764.04,830.43,835.2997,760.56,31310421.0
528,TSLA,2022-02-22,821.53,834.13,856.7338,801.1001,27387874.0
529,TSLA,2022-02-18,856.98,886.0,886.87,837.61,22833947.0
530,TSLA,2022-02-17,876.35,913.26,918.4999,874.1,18151362.0
531,TSLA,2022-02-16,923.39,914.05,926.4299,901.21,16946108.0
532,TSLA,2022-02-15,922.43,900.0,923.0,893.3774,18994194.0
533,TSLA,2022-02-14,875.76,861.57,898.8799,853.15,22403379.0
534,TSLA,2022-02-11,860.0,909.63,915.96,850.7,26311046.0
535,TSLA,2022-02-10,904.55,908.37,943.81,896.7,21702234.0
536,TSLA,2022-02-09,932.0,935.0,946.2699,920.0,16980389.0
537,TSLA,2022-02-08,922.0,905.53,926.2899,894.8,16955824.0
538,TSLA,2022-02-07,907.34,923.79,947.77,902.7089,20221971.0
539,TSLA,2022-02-04,923.32,897.22,936.5,881.17,24541822.0
540,TSLA,2022-02-03,891.14,882.0,937.0,880.52,25789228.0
541,TSLA,2022-02-02,905.66,928.18,931.5,889.41,21782737.0
542,TSLA,2022-02-01,931.25,935.21,943.7,905.0,24140332.0
543,TSLA,2022-01-31,936.72,872.71,937.99,862.05,34628474.0
544,TSLA,2022-01-28,846.35,831.56,857.5,792.01,44788359.0
545,TSLA,2022-01-27,829.1,933.36,935.39,829.0,47718850.0
546,TSLA,2022-01-26,937.41,952.43,987.69,906.0,32709202.0
547,TSLA,2022-01-25,918.4,914.2,951.26,903.21,28452509.0
548,TSLA,2022-01-24,930.0,904.76,933.5131,851.47,50369621.0
549,TSLA,2022-01-21,943.9,996.34,1004.55,940.5,34108982.0
550,TSLA,2022-01-20,996.27,1009.73,1041.66,994.0,23091050.0
551,TSLA,2022-01-19,995.65,1041.7,1054.67,995.0,24870215.0
552,TSLA,2022-01-18,1030.51,1026.61,1070.79,1016.06,22158412.0
553,TSLA,2022-01-14,1049.61,1019.88,1052.0,1013.38,24308137.0
554,TSLA,2022-01-13,1031.56,1109.07,1115.6,1026.54,32060250.0
555,TSLA,2022-01-12,1106.22,1078.85,1114.84,1072.59,27471650.0
556,TSLA,2022-01-11,1064.4,1053.67,1075.85,1038.82,21593308.0
557,TSLA,2022-01-10,1058.12,1000.0,1059.1,980.0,30078791.0
558,TSLA,2022-01-07,1026.96,1080.37,1080.93,1010.0,27963858.0
559,TSLA,2022-01-06,1064.7,1077.0,1088.0,1020.5,29777125.0
560,TSLA,2022-01-05,1088.12,1146.65,1170.34,1081.01,26033883.0
561,TSLA,2022-01-04,1149.59,1189.55,1208.0,1123.05,33098418.0
562,TSLA,2022-01-03,1199.78,1147.75,1201.07,1136.04,34468611.0
563,TSLA,2021-12-31,1056.78,1073.44,1082.0,1054.59,13479454.0
564,TSLA,2021-12-30,1070.34,1061.33,1095.55,1053.15,15373635.0
565,TSLA,2021-12-29,1086.19,1098.64,1104.0,1064.14,18621819.0
566,TSLA,2021-12-28,1088.47,1109.49,1119.0,1078.42,19942998.0
567,TSLA,2021-12-27,1093.94,1073.67,1117.0,1070.72,23588450.0
568,TSLA,2021-12-23,1067.0,1006.8,1072.98,997.56,30904429.0
569,TSLA,2021-12-22,1008.87,965.66,1015.66,957.05,30923251.0
570,TSLA,2021-12-21,938.53,916.87,939.5,886.12,23345210.0
571,TSLA,2021-12-20,899.94,910.7,921.6884,893.39,18534396.0
572,TSLA,2021-12-17,932.57,914.77,960.6599,909.0401,33441085.0
573,TSLA,2021-12-16,926.92,994.5,994.98,921.85,27236949.0
574,TSLA,2021-12-15,975.99,953.21,978.7499,928.2501,24591222.0
575,TSLA,2021-12-14,958.51,945.0,966.41,930.0,23169997.0
576,TSLA,2021-12-13,966.41,1001.09,1005.0,951.42,25342991.0
577,TSLA,2021-12-10,1017.03,1008.75,1020.98,982.53,19680412.0
578,TSLA,2021-12-09,1003.8,1060.64,1062.49,1002.36,19509184.0
579,TSLA,2021-12-08,1068.96,1052.71,1072.38,1033.0,13807984.0
580,TSLA,2021-12-07,1051.75,1044.2,1057.67,1026.81,18694857.0
581,TSLA,2021-12-06,1009.01,1001.51,1021.64,950.5,27013978.0
582,TSLA,2021-12-03,1014.97,1084.79,1090.58,1000.21,30153131.0
583,TSLA,2021-12-02,1084.6,1099.06,1113.0,1056.65,24205063.0
584,TSLA,2021-12-01,1095.0,1160.69,1172.84,1090.76,22578853.0
585,TSLA,2021-11-30,1144.76,1144.37,1168.0,1118.0,26960108.0
586,TSLA,2021-11-29,1136.99,1100.99,1142.67,1100.19,19183950.0
587,TSLA,2021-11-26,1081.92,1099.47,1108.78,1081.0,11619231.0
588,TSLA,2021-11-24,1116.0,1080.39,1132.77,1062.0,22560238.0
589,TSLA,2021-11-23,1109.03,1167.51,1180.5,1062.7,35988864.0
590,TSLA,2021-11-22,1156.87,1162.33,1201.95,1132.43,32377327.0
591,TSLA,2021-11-19,1137.06,1098.87,1138.72,1092.7,21336156.0
592,TSLA,2021-11-18,1096.38,1106.55,1112.0,1075.02,20683085.0
593,TSLA,2021-11-17,1089.01,1063.51,1119.64,1055.5,31011216.0
594,TSLA,2021-11-16,1054.73,1003.31,1057.2,1002.18,26304436.0
595,TSLA,2021-11-15,1013.39,1017.63,1031.98,978.6,34352781.0
596,TSLA,2021-11-12,1033.42,1047.5,1054.5,1019.2,25147852.0
597,TSLA,2021-11-11,1063.51,1102.77,1104.97,1054.68,22174016.0
598,TSLA,2021-11-10,1067.95,1010.41,1078.1,987.31,42087472.0
599,TSLA,2021-11-09,1023.5,1173.6,1174.5,1011.52,58865279.0
600,TSLA,2021-11-08,1162.94,1149.79,1197.0,1133.0,33815389.0
601,TSLA,2021-11-05,1222.09,1228.0,1239.87,1208.0,21537032.0
